# y_plus_values_1, u_plus_values_1
511.239582, 21.185084
511.883483, 21.185924
512.526313, 21.186717
513.170215, 21.187511
513.814116, 21.188304
514.456947, 21.189051
515.100848, 21.189751
515.743678, 21.190451
516.387580, 21.191151
517.031481, 21.191804
517.674311, 21.192457
518.318213, 21.193064
518.961043, 21.193671
519.604944, 21.194231
520.248846, 21.194791
520.891676, 21.195304
521.535578, 21.195818
522.178408, 21.196284
522.822309, 21.196751
523.466211, 21.197171
524.109041, 21.197591
524.752942, 21.198011
525.395773, 21.198384
526.039674, 21.198711
526.683576, 21.199038
527.326406, 21.199364
527.970307, 21.199644
528.613137, 21.199878
529.257039, 21.200111
529.900940, 21.200344
530.543770, 21.200531
531.187672, 21.200671
531.830502, 21.200811
532.474404, 21.200951
533.118305, 21.201044
533.761135, 21.201138
534.405037, 21.201184
535.047867, 21.201231
535.691768, 21.201231
